ACCOUNT NUMBER,DATE,DESCRIPTION,DEBIT,CREDIT
,01/01/2023,Starting Balance,,
,21/05/2023,Amazon,£118.74,
,30/05/2023,Business Dinner - Chicama,£84.68,
,31/05/2023,Amazon,£28.00,
,03/06/2023,Podcast Lunch - Aubaine,£63.00,
,04/06/2023,Podcast Lunch - Harvey,£70.37,
,06/06/2023,Amazon,£45.05,
,09/06/2023,Business Dinner - Il Borro,£163.30,
,17/06/2023,Five G,£13.10,
,17/06/2023,Mcdonalds,£9.17,
,23/06/2023,Business Dinner - Ishbilia,£61.88,
,02/07/2023,Podcast Lunch,£47.15,
,07/07/2023,Business Dinner - Bar de Pres,£117.30,
,15/07/2023,Business Lunch- Chicama,£194.10,
,23/11/2023,Lunch,£6.19,
,26/11/2023,Lunch,£27.95,
,01/12/2023,Lunch,£6.19,
,11/12/2023,Farmacy Business Lunch,£71.68,
,14/12/2023,Water,£1.79,
