ACCOUNT NUMBER,DATE,DESCRIPTION,DEBIT (In Business Currency),CREDIT (In Business Currency),BALANCE (In Business Currency)
,01/01/2024,Starting Balance,,,"£1,238.10"
,13/01/2024,Ishbilia meeting,£58.22,,"£1,296.32"
,18/01/2024,Cogs from Amazon,£52.40,,"£1,348.72"
,10/03/2024,Cogs from Amazon,£30.73,,"£1,379.45"
,15/03/2024,Client Dinner,£120.00,,"£1,499.45"
,15/03/2024,Cogs from Amazon,£27.98,,"£1,527.43"
,22/03/2024,Lunch,£17.33,,"£1,544.76"
,29/03/2024,Lunch,£24.19,,"£1,568.95"
,30/03/2024,Lunch,£15.99,,"£1,584.94"
,02/04/2024,Lunch,£14.74,,"£1,599.68"
,04/04/2024,Podcast Invite,£80.69,,"£1,680.37"
,06/04/2024,Lunch,£21.00,,"£1,701.37"
,11/04/2024,Lunch (2x),£29.41,,"£1,730.78"
,11/04/2024,Lunch ,£7.48,,"£1,738.26"
,13/04/2024,Podcast Lunch ,£21.82,,"£1,760.08"
,13/04/2024,Client Meeting,£9.00,,"£1,769.08"
,20/04/2024,Work Dinner,£53.99,,"£1,823.07"
,20/04/2024,Work Lunch,£7.75,,"£1,830.82"
,21/04/2024,Work Lunch,£85.72,,"£1,916.54"
,22/04/2024,Work Lunch,£16.00,,"£1,932.54"
,23/04/2024,Work Lunch,£7.25,,"£1,939.79"
,25/04/2024,Work Lunch,£5.90,,"£1,945.69"
,25/04/2024,Work Dinner Deliveroo,£17.20,,"£1,962.89"
,25/04/2024,Cogs from Amazon,£16.99,,"£1,979.88"
,26/04/2024,Work Lunch Deliveroo,£14.21,,"£1,994.09"
,26/04/2024,Work Lunch Deliveroo,£16.52,,"£2,010.61"
,26/04/2024,Work Dinner Deliveroo,£25.61,,"£2,036.22"
,28/04/2024,Work Lunch Deliveroo,£58.95,,"£2,095.17"
,28/04/2024,Laderach Gift to Client,£13.76,,"£2,108.93"
,29/04/2024,Cogs from Amazon,£31.93,,"£2,140.86"
,29/04/2024,Work Lunch Deliveroo,£21.14,,"£2,162.00"
,03/05/2024,Work Lunch Deliveroo,£16.71,,"£2,178.71"
,06/05/2024,Work Lunch Deliveroo,£17.69,,"£2,196.40"
,10/05/2024,Work Dinner - Entertainment client,£96.39,,"£2,292.79"
,10/05/2024,Coffee,£3.50,,"£2,296.29"
,11/05/2024,Work Lunch Deliveroo,£15.53,,"£2,311.82"
,11/05/2024,Work Lunch Deliveroo,£5.02,,"£2,316.84"
,15/05/2024,Work Lunch Deliveroo,£16.73,,"£2,333.57"
,21/05/2024,Work Lunch Deliveroo,£14.00,,"£2,347.57"
,22/05/2024,Work Lunch Deliveroo,£9.89,,"£2,357.46"
,25/05/2024,Work Lunch Deliveroo Inviting Guest to Pod,£112.94,,"£2,470.40"
,26/05/2024,Work Lunch Deliveroo,£4.48,,"£2,474.88"
,31/05/2024,Work Dinner Deliveroo,£23.34,,"£2,498.22"
,02/06/2024,Work  Deliveroo,£15.96,,"£2,514.18"
,02/06/2024, Work  Deliveroo,£16.99,,"£2,531.17"
,03/06/2024,Work  Deliveroo,£12.94,,"£2,544.11"
,03/06/2024,Work  Istu,£6.75,,"£2,550.86"
,04/06/2024,Work  Deliveroo,£20.52,,"£2,571.38"
,05/06/2024,Work  Deliveroo,£10.48,,"£2,581.86"
,07/06/2024,Work  Deliveroo,£12.42,,"£2,594.28"
,08/06/2024,Work Deliveroo,£51.95,,"£2,646.23"
,09/06/2024,Work Lunch Deliveroo,£14.15,,"£2,660.38"
,12/06/2024,Work Lunch Deliveroo,£10.95,,"£2,671.33"
,12/06/2024,Work Lunch Deliveroo,£11.29,,"£2,682.62"
,13/06/2024,Work Lunch Deliveroo,£10.52,,"£2,693.14"
,14/06/2024,Work Lunch Deliveroo,£15.73,,"£2,708.87"
,15/06/2024,Work Lunch Deliveroo,£16.24,,"£2,725.11"
,17/06/2024,Work Lunch Deliveroo,£17.15,,"£2,742.26"
,21/06/2024,Work Lunch Deliveroo,£13.12,,"£2,755.38"
,22/06/2024,Work invite podcast guest Soho house,£100.00,,"£2,855.38"
,25/06/2024,Work Lunch Deliveroo,£12.97,,"£2,868.35"
,25/06/2024,Work invite podcast guest Soho house,£166.00,,"£3,034.35"
,26/06/2024,Work Lunch Deliveroo,£20.96,,"£3,055.31"
,26/06/2024,Work Lunch Laderach,£3.17,,"£3,058.48"
,27/06/2024,Work Lunch Deliveroo,£16.92,,"£3,075.40"
,28/06/2024,Work Lunch Deliveroo,£16.76,,"£3,092.16"
,29/06/2024,Work Lunch Deliveroo,£16.19,,"£3,108.35"
,30/06/2024,Work Lunch Deliveroo,£35.31,,"£3,143.66"
,04/07/2024,Work Lunch Deliveroo,£17.81,,"£3,161.47"
,06/07/2024,Work Lunch Deliveroo,£25.20,,"£3,186.67"
,08/07/2024,Work Lunch Deliveroo,£4.88,,"£3,191.55"
,09/07/2024,Work Lunch Deliveroo,£9.15,,"£3,200.70"
,11/07/2024,Work Lunch Deliveroo,£18.02,,"£3,218.72"
,12/07/2024,Big Client Potential,£412.54,,"£3,631.26"
,12/07/2024,Work Lunch Deliveroo,£34.59,,"£3,665.85"
,13/07/2024,Work Dinner Deliveroo,£20.92,,"£3,686.77"
,13/07/2024,Work Lunch Deliveroo,£22.58,,"£3,709.35"
,14/07/2024,Work Lunch Deliveroo,£10.12,,"£3,719.47"
,16/07/2024,Work Lunch Deliveroo,£20.99,,"£3,740.46"
,20/07/2024,Work Lunch Deliveroo,£29.71,,"£3,770.17"
,19/08/2024,Itsu Lunch,£6.75,,"£3,776.92"
,21/08/2024,Soho Home Coffee with Omar,£11.50,,"£3,788.42"
,25/08/2024,Deliveroo Lunch,£10.75,,"£3,799.17"
,26/08/2024,JJ Lunch,£9.60,,"£3,808.77"
,27/08/2024,Deliveroo Lunch,£14.99,,"£3,823.76"
,30/08/2024,Client Meeting,£124.00,,"£3,947.76"
,30/08/2024,Snack from Harrods,£6.06,,"£3,953.82"
,30/08/2024,Lunch,£24.15,,"£3,977.97"
,01/09/2024,Lunch - Lions Prep,£2.82,,"£3,980.79"
,01/09/2024,Lunch at Itsu,£11.93,,"£3,992.72"
,01/09/2024,Deliveroo,£15.58,,"£4,008.30"
,04/09/2024,Lunch at Deliveroo,£14.95,,"£4,023.25"
,05/09/2024,Lunch at Deliveroo,£15.39,,"£4,038.64"
,06/09/2024,Lunch at Itsu,£6.75,,"£4,045.39"
,06/09/2024,Lunch at UberEats,£16.43,,"£4,061.82"
,07/09/2024,Lunch at Itsu,£8.15,,"£4,069.97"
,09/09/2024,Lunch at Itsu,£6.25,,"£4,076.22"
,11/09/2024,Lunch at Itsu,£6.75,,"£4,082.97"
,11/09/2024,Lunch at Itsu,£6.75,,"£4,089.72"
,11/09/2024,Breakfast Deliveoo,£14.53,,"£4,104.25"
,12/09/2024,Lunch Deliveoo,£42.49,,"£4,146.74"
,13/09/2024,Lunch Deliveoo,£19.82,,"£4,166.56"
,14/09/2024,Lunch Itsu,£6.25,,"£4,172.81"
,15/09/2024,Business Meal for Podcast,£108.57,,"£4,281.38"
,15/09/2024,Ladure snack,£3.50,,"£4,284.88"
,17/09/2024,Lunch Itsu,£6.25,,"£4,291.13"
,17/09/2024,Breakfast Deliveroo,£16.55,,"£4,307.68"
,20/09/2024,Lunch Itsu,£13.50,,"£4,321.18"
,21/09/2024,Soho House Invite,£50.00,,"£4,371.18"
,23/09/2024,Joe & Juice,£8.00,,"£4,379.18"
,23/09/2024,Itsu,£6.75,,"£4,385.93"
,23/09/2024,Deliveroo,£34.99,,"£4,420.92"
,24/09/2024,Deliveroo,£10.62,,"£4,431.54"
,25/09/2024,Lunch Itsu,£8.15,,"£4,439.69"
,27/09/2024,Lunch Itsu,£8.15,,"£4,447.84"
,27/09/2024,Deliveroo,£17.80,,"£4,465.64"
,02/10/2024,Lunch Itsu,£8.15,,"£4,473.79"
,03/10/2024,Deliveroo,£32.09,,"£4,505.88"
,03/10/2024,Lunch at Selfridges,£24.99,,"£4,530.87"
,04/10/2024,Deliveroo,£31.88,,"£4,562.75"
,05/10/2024,Deliveroo,£13.97,,"£4,576.72"
,07/10/2024,Lunch at Itsu,£6.75,,"£4,583.47"
,09/10/2024,Lunch at Waitrose,£5.80,,"£4,589.27"
,09/10/2024,Deliveroo breakfast,£32.46,,"£4,621.73"
,10/10/2024,Lunch at Itsu,£17.49,,"£4,639.22"
,10/10/2024,Paul breakfast,£4.25,,"£4,643.47"
,11/10/2024,Paul breakfast,£3.00,,"£4,646.47"
,11/10/2024,Harrods Lunch,£13.00,,"£4,659.47"
,11/10/2024,Inviting Podcast Guest (5 Guys),£71.00,,"£4,730.47"
,12/10/2024,French bakery breakfast inviting Alex,£13.95,,"£4,744.42"
,15/10/2024,Itsu ,£6.75,,"£4,751.17"
,18/10/2024,Itsu - Paul (Breakfast Lunch),£9.35,,"£4,760.52"
,19/10/2024,Meraki Podcast Guest,£75.00,,"£4,835.52"
,19/10/2024,Deliveroo Breakfast,£2.09,,"£4,837.61"
,21/10/2024,Deliveroo Lunch,£14.49,,"£4,852.10"
,23/10/2024,Deliveroo Lunch,£20.96,,"£4,873.06"
,24/10/2024,Itsu lunch,£6.75,,"£4,879.81"
,25/10/2024,Deliveroo Lunch,£22.52,,"£4,902.33"
,26/10/2024,Deliveroo breakfast,£13.14,,"£4,915.47"
,26/10/2024,Deliveroo Lunch,£16.49,,"£4,931.96"
,27/10/2024,Deliveroo breakfast,£9.94,,"£4,941.90"
,01/11/2024,Coffee - Roasting Party,£3.30,,"£4,945.20"
,01/11/2024,Deliveroo breakfast,£16.55,,"£4,961.75"
,01/11/2024,Deliveroo lunch,£41.49,,"£5,003.24"
,02/11/2024,The Orange,£24.23,,"£5,027.47"
,03/11/2024,Paul,£2.60,,"£5,030.07"
,03/11/2024,Knoops,£5.60,,"£5,035.67"
,07/11/2024,Paul,£2.60,,"£5,038.27"
,07/11/2024,Deliveroo x 2,£32.43,,"£5,070.70"
,08/11/2024,Paul,£3.00,,"£5,073.70"
,08/11/2024,Deliveroo,£44.04,,"£5,117.74"
,08/11/2024,Meraki Guest Invite,£162.00,,"£5,279.74"
,09/11/2024,Vita Coffee Shop,£21.90,,"£5,301.64"
,10/11/2024,Itsu lunch,£2.95,,"£5,304.59"
,10/11/2024,Gordon Ramsey,£14.33,,"£5,318.92"
,11/11/2024,Deliveroo,£45.93,,"£5,364.85"
,12/11/2024,Paul,£3.95,,"£5,368.80"
,12/11/2024,Deliveroo,£44.84,,"£5,413.64"
,14/11/2024,Paul,£4.25,,"£5,417.89"
,14/11/2024,Itsu lunch,£6.95,,"£5,424.84"
,15/11/2024,Uber Eats,£35.93,,"£5,460.77"
,15/11/2024,Itsu lunch,£6.75,,"£5,467.52"
,16/11/2024,Ronis Bakery lunch,£20.50,,"£5,488.02"
,17/11/2024,Laduree,£6.70,,"£5,494.72"
,18/11/2024,Paul,£3.95,,"£5,498.67"
,20/11/2024,Vita Coffee,£4.90,,"£5,503.57"
,20/11/2024,Deliveroo,£5.32,,"£5,508.89"
,20/11/2024,Blank Street Coffee,£12.60,,"£5,521.49"
,20/11/2024,Partridges,£5.98,,"£5,527.47"
,20/11/2024,Itsu,£9.90,,"£5,537.37"
,23/11/2024,Itsu,£1.99,,"£5,539.36"
,23/11/2024,Itsu,£4.94,,"£5,544.30"
,25/11/2024,Itsu,£2.95,,"£5,547.25"
,25/11/2024,Lionsprep,£35.90,,"£5,583.15"
,26/11/2024,Deliveroo,£21.77,,"£5,604.92"
,26/11/2024,Deliveroo,£13.97,,"£5,618.89"
,27/11/2024,Itsu,£8.94,,"£5,627.83"
,28/11/2024,Itsu,£2.94,,"£5,630.77"
,28/11/2024,Coffee,£3.95,,"£5,634.72"
,30/11/2024,Deliveroo,£2.97,,"£5,637.69"
,30/11/2024,UberEats,£11.17,,"£5,648.86"
,01/12/2024,Venchi,£10.00,,"£5,658.86"
,02/12/2024,Paul,£3.00,,"£5,661.86"
,03/12/2024,Bleecker -  Invite Client,£26.55,,"£5,688.41"
,03/12/2024,Itsu,£9.90,,"£5,698.31"
,03/12/2024,Vita -  Invite Client,£18.60,,"£5,716.91"
,05/12/2024,Deliveroo,£24.31,,"£5,741.22"
,06/12/2024,Deliveroo,£20.64,,"£5,761.86"
,06/12/2024,SnS -  Invite Client,£31.39,,"£5,793.25"
,08/12/2024,Pret,£7.30,,"£5,800.55"
,12/12/2024,Deliveroo,£13.99,,"£5,814.54"
,13/12/2024,Deliveroo,£16.71,,"£5,831.25"
,13/12/2024,Deliveroo,£16.19,,"£5,847.44"
,14/12/2024,SnS -  Invite Client,£77.89,,"£5,925.33"
,16/12/2024,Itsu,£9.90,,"£5,935.23"
,16/12/2024,Lunch,£21.34,,"£5,956.57"
,16/12/2024,Deliveroo,£14.99,,"£5,971.56"
,17/12/2024,Deliveroo,£16.49,,"£5,988.05"
,19/12/2024,Deliveroo,£10.70,,"£5,998.75"
,20/12/2024,Deliveroo,£20.14,,"£6,018.89"
,22/12/2024,Deliveroo,£26.49,,"£6,045.38"
,28/12/2024,Deliveroo,£23.52,,"£6,068.90"
,28/12/2024,Deliveroo,£18.45,,"£6,087.35"
,29/12/2024,Deliveroo,£13.34,,"£6,100.69"
,30/12/2024,Itsu,£9.90,,"£6,110.59"
