DATE,DESCRIPTION,AMOUNT,Anomaly Flags,Is High Risk?,Is selected for Sampling
2024-01-01,Starting Balance,0.00,,FALSE,FALSE
2024-01-13,Ishbilia meeting,58.22,Weekend,TRUE,FALSE
2024-01-18,Cogs from Amazon,52.40,,FALSE,FALSE
2024-03-10,Cogs from Amazon,30.73,Weekend,TRUE,FALSE
2024-03-15,Client Dinner,120.00,Z_score above threshold Rounded True,TRUE,TRUE
2024-03-15,Cogs from Amazon,27.98,,FALSE,FALSE
2024-03-22,Lunch,17.33,,FALSE,FALSE
2024-03-29,Lunch,24.19,,FALSE,FALSE
2024-03-30,Lunch,15.99,Weekend,TRUE,FALSE
2024-04-02,Lunch,14.74,,FALSE,FALSE
2024-04-04,Podcast Invite,80.69,,FALSE,FALSE
2024-04-06,Lunch,21.00,Rounded True Weekend,TRUE,FALSE
2024-04-11,Lunch (2x),29.41,,FALSE,FALSE
2024-04-11,Lunch,7.48,,FALSE,FALSE
2024-04-13,Podcast Lunch,21.82,Weekend,TRUE,FALSE
2024-04-13,Client Meeting,9.00,Rounded True Weekend,TRUE,FALSE
2024-04-20,Work Dinner,53.99,Weekend,TRUE,FALSE
2024-04-20,Work Lunch,7.75,,FALSE,FALSE
2024-04-21,Work Lunch,85.72,,FALSE,FALSE
2024-04-22,Work Lunch,16.00,Rounded True,TRUE,FALSE
2024-04-23,Work Lunch,7.25,,FALSE,FALSE
2024-04-25,Work Lunch,5.90,,FALSE,FALSE
2024-04-25,Work Dinner Deliveroo,17.20,,FALSE,FALSE
2024-04-25,Cogs from Amazon,16.99,,FALSE,FALSE
2024-04-26,Work Lunch Deliveroo,14.21,,FALSE,FALSE
2024-04-26,Work Lunch Deliveroo,16.52,,FALSE,FALSE
2024-04-26,Work Dinner Deliveroo,25.61,,FALSE,FALSE
2024-04-28,Work Lunch Deliveroo,58.95,Weekend,TRUE,FALSE
2024-04-28,Laderach Gift to Client,13.76,Weekend,TRUE,FALSE
2024-04-29,Cogs from Amazon,31.93,,FALSE,FALSE
2024-04-29,Work Lunch Deliveroo,21.14,,FALSE,FALSE
2024-05-03,Work Lunch Deliveroo,16.71,,FALSE,FALSE
2024-05-06,Work Lunch Deliveroo,17.69,,FALSE,FALSE
2024-05-10,Work Dinner - Entertainment client,96.39,,FALSE,FALSE
2024-05-10,Coffee,3.50,,FALSE,FALSE
2024-05-11,Work Lunch Deliveroo,15.53,Weekend,TRUE,FALSE
2024-05-11,Work Lunch Deliveroo,5.02,Weekend,TRUE,FALSE
2024-05-15,Work Lunch Deliveroo,16.73,,FALSE,FALSE
2024-05-21,Work Lunch Deliveroo,14.00,Rounded True,TRUE,FALSE
2024-05-22,Work Lunch Deliveroo,9.89,,FALSE,FALSE
2024-05-25,Work Lunch Deliveroo Inviting Guest to Pod,112.94,Weekend Z_score above threshold,TRUE,TRUE
2024-05-26,Work Lunch Deliveroo,4.48,Weekend,TRUE,FALSE
2024-05-31,Work Dinner Deliveroo,23.34,,FALSE,FALSE
2024-06-02,Work  Deliveroo,15.96,Weekend,TRUE,FALSE
2024-06-02,Work  Deliveroo,16.99,Weekend,TRUE,FALSE
2024-06-03,Work  Deliveroo,12.94,,FALSE,FALSE
2024-06-03,Work  Istu,6.75,,FALSE,FALSE
2024-06-04,Work  Deliveroo,20.52,,FALSE,FALSE
2024-06-05,Work  Deliveroo,10.48,,FALSE,FALSE
2024-06-07,Work  Deliveroo,12.42,,FALSE,FALSE
2024-06-08,Work Deliveroo,51.95,Weekend,TRUE,FALSE
2024-06-09,Work Lunch Deliveroo,14.15,Weekend,TRUE,FALSE
2024-06-12,Work Lunch Deliveroo,10.95,,FALSE,FALSE
2024-06-12,Work Lunch Deliveroo,11.29,,FALSE,FALSE
2024-06-13,Work Lunch Deliveroo,10.52,,FALSE,FALSE
2024-06-14,Work Lunch Deliveroo,15.73,,FALSE,FALSE
2024-06-15,Work Lunch Deliveroo,16.24,Weekend,TRUE,FALSE
2024-06-17,Work Lunch Deliveroo,17.15,,FALSE,FALSE
2024-06-21,Work Lunch Deliveroo,13.12,,FALSE,FALSE
2024-06-22,Work invite podcast guest Soho house,100.00,Rounded True Weekend,TRUE,FALSE
2024-06-25,Work Lunch Deliveroo,12.97,,FALSE,FALSE
2024-06-25,Work invite podcast guest Soho house,166.00,Z_score above threshold Rounded True,TRUE,TRUE
2024-06-26,Work Lunch Deliveroo,20.96,,FALSE,FALSE
2024-06-26,Work Lunch Laderach,3.17,,FALSE,FALSE
2024-06-27,Work Lunch Deliveroo,16.92,,FALSE,FALSE
2024-06-28,Work Lunch Deliveroo,16.76,,FALSE,FALSE
2024-06-29,Work Lunch Deliveroo,16.19,Weekend,TRUE,FALSE
2024-06-30,Work Lunch Deliveroo,35.31,Weekend,TRUE,FALSE
2024-07-04,Work Lunch Deliveroo,17.81,,FALSE,FALSE
2024-07-06,Work Lunch Deliveroo,25.20,Weekend,TRUE,FALSE
2024-07-08,Work Lunch Deliveroo,4.88,,FALSE,FALSE
2024-07-09,Work Lunch Deliveroo,9.15,,FALSE,FALSE
2024-07-11,Work Lunch Deliveroo,18.02,,FALSE,FALSE
2024-07-12,Big Client Potential,412.54,Z_score above threshold,TRUE,TRUE
2024-07-12,Work Lunch Deliveroo,34.59,,FALSE,FALSE
2024-07-13,Work Dinner Deliveroo,20.92,Weekend,TRUE,FALSE
2024-07-13,Work Lunch Deliveroo,22.58,Weekend,TRUE,FALSE
2024-07-14,Work Lunch Deliveroo,10.12,Weekend,TRUE,FALSE
2024-07-16,Work Lunch Deliveroo,20.99,,FALSE,FALSE
