ACCOUNT NUMBER,DATE,DESCRIPTION,debit_clean,credit_clean,balance_clean,Amount,Z_score,LeadingDigit,Rounded,Precision,Mean,Median,StdDev,K_means Cluster,Cluster Label,Weekend,Holiday,EvenDollar
,2024-01-01,Starting Balance,,,1238.1,0.0,-0.63,0,True,0.0,23.77,14.99,37.58,0,Low,False,False,False
,2024-01-13,Ishbilia meeting,58.22,,1296.32,58.22,0.92,5,False,0.21999999999999886,23.77,14.99,37.58,0,Low,True,False,False
,2024-01-18,Cogs from Amazon,52.4,,1348.72,52.4,0.76,5,False,0.3999999999999986,23.77,14.99,37.58,0,Low,False,False,False
,2024-03-10,Cogs from Amazon,30.73,,1379.45,30.73,0.19,3,False,0.7300000000000004,23.77,14.99,37.58,0,Low,True,False,False
,2024-03-15,Client Dinner,120.0,,1499.45,120.0,2.57,1,True,0.0,23.77,14.99,37.58,1,Medium,False,False,False
,2024-03-15,Cogs from Amazon,27.98,,1527.43,27.98,0.11,2,False,0.9800000000000004,23.77,14.99,37.58,0,Low,False,False,False
,2024-03-22,Lunch,17.33,,1544.76,17.33,-0.17,1,False,0.3299999999999983,23.77,14.99,37.58,0,Low,False,False,False
,2024-03-29,Lunch,24.19,,1568.95,24.19,0.01,2,False,0.19000000000000128,23.77,14.99,37.58,0,Low,False,False,False
,2024-03-30,Lunch,15.99,,1584.94,15.99,-0.21,1,False,0.9900000000000002,23.77,14.99,37.58,0,Low,True,False,False
,2024-04-02,Lunch,14.74,,1599.68,14.74,-0.24,1,False,0.7400000000000002,23.77,14.99,37.58,0,Low,False,False,False
,2024-04-04,Podcast Invite,80.69,,1680.37,80.69,1.52,8,False,0.6899999999999977,23.77,14.99,37.58,1,Medium,False,False,False
,2024-04-06,Lunch,21.0,,1701.37,21.0,-0.07,2,True,0.0,23.77,14.99,37.58,0,Low,True,False,False
,2024-04-11,Lunch (2x),29.41,,1730.78,29.41,0.15,2,False,0.41000000000000014,23.77,14.99,37.58,0,Low,False,False,False
,2024-04-11,Lunch ,7.48,,1738.26,7.48,-0.43,7,False,0.4800000000000004,23.77,14.99,37.58,0,Low,False,False,False
,2024-04-13,Podcast Lunch ,21.82,,1760.08,21.82,-0.05,2,False,0.8200000000000003,23.77,14.99,37.58,0,Low,True,False,False
,2024-04-13,Client Meeting,9.0,,1769.08,9.0,-0.39,9,True,0.0,23.77,14.99,37.58,0,Low,True,False,False
,2024-04-20,Work Dinner,53.99,,1823.07,53.99,0.81,5,False,0.990000000000002,23.77,14.99,37.58,0,Low,True,False,False
,2024-04-20,Work Lunch,7.75,,1830.82,7.75,-0.43,7,False,0.75,23.77,14.99,37.58,0,Low,True,False,False
,2024-04-21,Work Lunch,85.72,,1916.54,85.72,1.65,8,False,0.7199999999999989,23.77,14.99,37.58,1,Medium,True,False,False
,2024-04-22,Work Lunch,16.0,,1932.54,16.0,-0.21,1,True,0.0,23.77,14.99,37.58,0,Low,False,False,False
